lambda_um,energy_eV,eps1,eps2,n,k,alpha_m_inv,alpha_cm_inv,material,model
1.3739999999999999,0.9023595225618631,-4.239264451417754,1.3960330547877282,0.3346256649864186,2.0859623167941836,19077857.030875552,190778.57030875553,Ge,AdachiGeSkeleton
1.3755,0.9013754881861141,-4.288383562014691,1.4216391147002068,0.3387492837562142,2.0983647536260324,19170359.271663543,191703.59271663544,Ge,AdachiGeSkeleton
1.377,0.9003935976761074,-4.33818201908795,1.44788320164326,0.3429577258652509,2.1108770738294105,19263662.76767929,192636.62767679288,Ge,AdachiGeSkeleton
1.3784999999999998,0.8994138440333697,-4.388671989513216,1.4747856041564347,0.3472533201409583,2.123501084968438,19357781.380999062,193577.81380999062,Ge,AdachiGeSkeleton
1.38,0.898436220289855,-4.439865848531887,1.5023673905977522,0.3516384762516892,2.136238625835723,19452729.19779786,194527.2919779786,Ge,AdachiGeSkeleton
1.3815,0.8974607195077814,-4.4917761790472035,1.5306504438478357,0.35611568802483434,2.149091566756662,19548520.529900856,195485.20529900855,Ge,AdachiGeSkeleton
1.383,0.8964873347794649,-4.54441577037975,1.5596574977374236,0.36068753692015193,2.1620618098632787,19645169.916047804,196451.69916047805,Ge,AdachiGeSkeleton
1.3844999999999998,0.8955160592271578,-4.5977976164205066,1.5894121752899775,0.3653566956662328,2.1751512893333778,19742692.122834545,197426.92122834545,Ge,AdachiGeSkeleton
1.386,0.894546886002886,-4.651934913114088,1.6199390288763227,0.37012593206847777,2.1883619715905427,19841102.14529329,198411.0214529329,Ge,AdachiGeSkeleton
1.3875,0.8935798082882882,-4.706841055197885,1.6512635823832729,0.3749981129973827,2.2016958554599415,19940415.20706897,199404.15207068968,Ge,AdachiGeSkeleton
1.389,0.8926148192944564,-4.762529632115844,1.6834123755038108,0.3799762085664178,2.2151549722744805,20040646.76014517,200406.46760145167,Ge,AdachiGeSkeleton
1.3904999999999998,0.8916519122617763,-4.819014423017675,1.7164130102620914,0.38506329650927335,2.228741385925308,20141812.48406899,201418.1248406899,Ge,AdachiGeSkeleton
1.392,0.8906910804597701,-4.876309390745416,1.7502941998923889,0.39026256676674353,2.242457192850018,20243928.284618415,202439.28284618416,Ge,AdachiGeSkeleton
1.3935,0.8897323171869393,-4.934428674700101,1.7850858201975555,0.39557732629409015,2.2563045219513436,20347010.291851513,203470.10291851513,Ge,AdachiGeSkeleton
1.395,0.8887756157706093,-4.993386582470617,1.8208189635188845,0.40101100410026685,2.2702855344383712,20451074.857470293,204510.7485747029,Ge,AdachiGeSkeleton
1.3964999999999999,0.8878209695667741,-5.053197580095518,1.8575259954561134,0.40656715653099335,2.2844024235815406,20556138.55142567,205561.3855142567,Ge,AdachiGeSkeleton
1.398,0.8868683719599427,-5.113876280816102,1.8952406144833223,0.41224947280828433,2.298657414371879,20662218.157683562,206622.18157683563,Ge,AdachiGeSkeleton
1.3995,0.8859178163629867,-5.175437432165107,1.933997914613604,0.4180617808396681,2.3130527630739297,20769330.66906361,207693.3066906361,Ge,AdachiGeSkeleton
1.401,0.8849692962169878,-5.237895901220785,1.9738344512731256,0.4240080533110363,2.3275907566609297,20877493.281054918,208774.9328105492,Ge,AdachiGeSkeleton
1.4024999999999999,0.8840228049910873,-5.301266657839023,2.0147883105525324,0.4300924140777171,2.342273712119534,20986723.384502597,209867.23384502597,Ge,AdachiGeSkeleton
1.404,0.8830783361823361,-5.365564755658577,2.0568991820118256,0.4363191448691291,2.357103975610305,21097038.557050228,210970.3855705023,Ge,AdachiGeSkeleton
1.4055,0.882135883315546,-5.430805310654331,2.100208435222654,0.44269269232309405,2.3720839214687577,21208456.553211574,212084.56553211572,Ge,AdachiGeSkeleton
1.407,0.8811954399431413,-5.49700347699197,2.1447592002402533,0.44921767536668306,2.3872159510303663,21320995.292933535,213209.95292933536,Ge,AdachiGeSkeleton
1.4084999999999999,0.8802569996450125,-5.564174419913157,2.1905964522051757,0.4558988929612278,2.4025024912612327,21434672.848498307,214346.72848498306,Ge,AdachiGeSkeleton
1.41,0.8793205560283688,-5.632333285354746,2.237767100283532,0.4627413322299983,2.417945993174525,21549507.429599896,215495.07429599896,Ge,AdachiGeSkeleton
1.4115,0.8783861027275947,-5.701495165976037,2.286320081162007,0.46975017698780674,2.4335489300106774,21665517.3664126,216655.173664126,Ge,AdachiGeSkeleton
1.4129999999999998,0.8774536334041048,-5.771675063237285,2.3363064573222885,0.4769308166927074,2.4493137951574226,21782721.09045349,217827.2109045349,Ge,AdachiGeSkeleton
1.4144999999999999,0.8765231417462,-5.842887845137726,2.3877795203268675,0.48428885584077586,2.4652430997833243,21901137.113021486,219011.37113021486,Ge,AdachiGeSkeleton
1.416,0.8755946214689265,-5.915148199183288,2.4407948993551436,0.4918301238257814,2.4813393701559185,22020784.000974458,220207.84000974457,Ge,AdachiGeSkeleton
1.4175,0.8746680663139329,-5.988470580113181,2.495410675235736,0.4995606852864739,2.4976051446129497,22141680.349584807,221416.80349584806,Ge,AdachiGeSkeleton
1.419,0.8737434700493304,-6.062869151868248,2.551687500226046,0.5074868509649603,2.514042970151978,22263844.75218751,222638.4475218751,Ge,AdachiGeSkeleton
1.4204999999999999,0.872820826469553,-6.138357723234546,2.6096887237951645,0.5156151891005004,2.5306553986004676,22387295.766309272,223872.95766309273,Ge,AdachiGeSkeleton
1.422,0.871900129395218,-6.214949676540489,2.669480524669255,0.5239525373837846,2.5474449823247203,22512051.875936773,225120.51875936773,Ge,AdachiGeSkeleton
1.4235,0.870981372672989,-6.292657888726001,2.7311320494002644,0.532506015497465,2.5644142694321035,22638131.449550357,226381.31449550355,Ge,AdachiGeSkeleton
